date,home_team,home_score,away_team,away_score,attendance,game_id_url,game_id,playoff_game,home_team_rank,away_team_rank
10/05/2024,Wheeling,32,UNC Pembroke Braves,35,500,/contests/5366155/box_score,5366155,0,NA,NA
10/05/2024,Charleston  Golden Eagles,29,Glenville St.,17,"1,136",/contests/5366156/box_score,5366156,0,NA,NA
09/21/2024,Warner,25,Shorter Hawks,47,0,/contests/5366160/box_score,5366160,0,NA,NA
10/05/2024,Kutztown,42,Bloomsburg Huskies,10,"6,224",/contests/5366161/box_score,5366161,0,NA,NA
10/05/2024,Walsh,63,Lake Erie Storm,34,"1,634",/contests/5366162/box_score,5366162,0,NA,NA
10/05/2024,Davenport Panthers,7,Grand Valley St.,24,"2,102",/contests/5366163/box_score,5366163,0,NA,NA
10/05/2024,Millersville,17,East Stroudsburg Warriors,57,"2,155",/contests/5366168/box_score,5366168,0,NA,NA
10/05/2024,Pace,16,Bentley Falcons,31,350,/contests/5366169/box_score,5366169,0,NA,NA
10/05/2024,Michigan Tech Huskies,22,Wayne St. (MI),7,"1,974",/contests/5366172/box_score,5366172,0,NA,NA
10/05/2024,West Chester,28,Shippensburg Raiders,10,"2,980",/contests/5366173/box_score,5366173,0,NA,NA
10/05/2024,Shepherd,45,Lock Haven Bald Eagles,38,"4,197",/contests/5366174/box_score,5366174,0,NA,NA
10/05/2024,Chadron St.,52,Adams St. Grizzlies,3,"2,500",/contests/5366175/box_score,5366175,0,NA,NA
10/05/2024,Henderson St. Reddies,52,Okla. Baptist,7,"3,142",/contests/5366183/box_score,5366183,0,NA,NA
10/05/2024,Carson-Newman,28,Barton Bulldogs,17,"3,714",/contests/5366188/box_score,5366188,0,NA,NA
10/05/2024,Northwood,13,Hillsdale Chargers,14,"2,391",/contests/5366197/box_score,5366197,0,NA,NA
10/05/2024,Colorado Mesa,14,Colo. Sch. of Mines Orediggers,13,"3,084",/contests/5366209/box_score,5366209,0,NA,NA
10/05/2024,Wayne St. (NE),27,Minot St. Beavers,21,"1,809",/contests/5366213/box_score,5366213,0,NA,NA
10/05/2024,Morgan St.,41,Lincoln  Lions,0,"7,632",/contests/5366217/box_score,5366217,0,NA,NA
10/05/2024,Gannon Golden Knights,23,Seton Hill,17,"2,713",/contests/5366225/box_score,5366225,0,NA,NA
10/05/2024,Tusculum,21,Limestone Saints,49,819,/contests/5366226/box_score,5366226,0,NA,NA
10/05/2024,Emory & Henry Wasps,31,Lenoir-Rhyne,20,"5,692",/contests/5366227/box_score,5366227,0,NA,NA
10/05/2024,Ashland Eagles,26,Ohio Dominican,6,"3,035",/contests/5366228/box_score,5366228,0,NA,NA
10/05/2024,Ky. Wesleyan,9,Findlay Oilers,49,678,/contests/5366229/box_score,5366229,0,NA,NA
10/05/2024,Winona St.,33,MSU Moorhead Dragons,6,"1,798",/contests/5366235/box_score,5366235,0,NA,NA
10/05/2024,Northern Mich. Wildcats,14,Saginaw Valley,63,"2,553",/contests/5366241/box_score,5366241,0,NA,NA
10/05/2024,Augustana  Vikings,28,Minn. Duluth,24,"3,676",/contests/5366242/box_score,5366242,0,NA,NA
10/05/2024,Virginia Union Panthers,31,Winston-Salem,13,"5,222",/contests/5366243/box_score,5366243,0,NA,NA
10/05/2024,New Haven,56,American Int'l Yellow Jackets,0,"4,022",/contests/5366244/box_score,5366244,0,NA,NA
