number	name	class	position	height	weight	hometown	high_school	team	season
74	Michael Chambers	Sr.	OL	6-4	310	Silver Spring, MD		Chowan	2024
40	Danny Foster	Sr.	LB	6-3	235	Florence, SC		Chowan	2024
38	William Reid	So.	WR	6-0	165	Washington, NC	Washington HS	Chowan	2024
4	Maurice Smith	Fr.	RB	6-3	220	Fort Pierce, FL	Vero Beach	Chowan	2024
6	Jeremiah Wright	Fr.	DB	5-10	180	Round Rock, TX		Chowan	2024
2	Gabrial Jackson	Jr.	TE	6-1	215	Hampton, VA	Kecoughtan HS	Chowan	2024
3	Malachi Howell	Jr.	DL	6-2	250	Monroe, NC		Chowan	2024
1	Jakobe Lane	Jr.	RB	5-9	180	Haines City, FL		Chowan	2024
8	Nyamusa Njoka	Sr.	DB	6-0	190	Burtonsville, MD		Chowan	2024
13	Justin Taylor	Jr.	DB	6-0	180	Goldsboro, NC	Goldsboro HS	Chowan	2024
43	Oreon Ford	Jr.	LB	5-11	213	Clayton, NC		Chowan	2024
55	Jadyn Hammonds-Dickens	Jr.	OL	5-10	290	Polkton, NC		Chowan	2024
48	Matthew Conord	Fr.	K	5-11	170	Lithia, FL	Newsome HS	Chowan	2024
49	Willie Bridgers iV	So.	LS	5-9	205	Wilson, NC		Chowan	2024
60	Isaiah Sharpe	Jr.	OL	6-3	310	Mount Olive, NC		Chowan	2024
71	Knowledge Broadie	Jr.	OL	6-4	315	Dudley, NC		Chowan	2024
81	Keon Adderley	So.	WR	6-3	190	Miami, FL		Chowan	2024
22	Malique Frazier	Sr.	WR	5-11	180	Macon, GA		Chowan	2024
28	Jamison Davis	Fr.	RB	5-11	195	Fort Pierce, FL	Treasure Coast HS	Chowan	2024
32	Ja'Ven Gooch	Jr.	RB	5-10	220	Warner Robins, GA		Chowan	2024
41	Demarcus Carroll	Jr.	DL	6-4	200	Fayetteville, NC	Byrd HS	Chowan	2024
23	Demitray Fields	Jr.	DB	6-1	195	Fort Lauderdale, FL	Fort Lauderdale HS	Chowan	2024
24	Charles Alberty	Jr.	DB	5-10	180	Oakland, CA		Chowan	2024
20	Jalen Razor	Jr.	RB	5-9	187	Tarboro, NC	Tarboro HS	Chowan	2024
25	Komari Clark	Sr.	DB	5-10	188	Franklin, GA		Chowan	2024
26	Jerrel Howard	Jr.	DB	6-0	180	Glen Burnie, MD		Chowan	2024
18	Samuel Tagg	Fr.	LB	6-0	220	Mount Morris, MI		Chowan	2024
83	Greg Williams	Sr.	WR	5-7	170	Fredericksbrg, VA	Janes Monroe HS	Chowan	2024
86	Anthony Key	So.	WR	6-1	190	Richmond, VA	Trinity Episcopal School	Chowan	2024
76	James Simmons	So.	OL	6-3	300	Dinwiddie, VA	Dinwiddie HS	Chowan	2024
42	Cameron Richardson	So.	DL	5-11	215	Wake Forest, NC	Rolesville HS	Chowan	2024
30	Marcus Serrano	Jr.	DB	5-11	185	Philadelphia, PA		Chowan	2024
17	Canii Tucker	Jr.	DB	6-1	175	Ladson, SC	Fort Dortchester HS	Chowan	2024
21	Isaiah Fulton	So.	DB	6-0	170	Orlando, FL	Lake Nona HS	Chowan	2024
46	Landon Bueter	So.	TE	6-3	235	Orlando, FL	Timber Creek HS	Chowan	2024
5	Kennypride Toh	Sr.	LB	6-0	225	Silver Spring, MD		Chowan	2024
0	Romeo Felton	Jr.	RB	5-8	180	Akron, OH		Chowan	2024
64	William Simmons	So.	OL	6-3	270	Dinwiddie, VA	Dinwiddie HS	Chowan	2024
33	Kamari Matthews	Jr.	LB	5-11	220	Hampton, VA	Tabb HS	Chowan	2024
44	Alix Ulysse	So.	LB	6-3	210	Miami, FL	North Miami Beach Senior HS	Chowan	2024
57	Deangelo Woods	Sr.	OL	6-3	300	Pinson, AL		Chowan	2024
72	Omarion Huntley	Jr.	OL	6-6	330	Monroe, NC		Chowan	2024
10	Josef Manley	Fr.	QB	6-1	200	Upper Marlboro, MD	Frederick Douglas HS	Chowan	2024
94	Donovan Williams	So.	DL	6-1	270	Jacksonville, NC	Northside HS	Chowan	2024
99	Darrick Badley	So.	DL	6-4	340	Henrico, VA	Trinity Episcopal School	Chowan	2024
47	Malik Holiday	So.	LB	6-0	215	Warner Robins, GA	Veterans HS	Chowan	2024
34	Joshua Gonleh	Jr.	LB	6-0	210	Crystal, MN		Chowan	2024
35	Omari Kinsler	Fr.	LB	6-4	205	Port St Lucie, FL	Treasure Coast HS	Chowan	2024
77	Major Dillard	So.	OL	6-2	330	Washington, DC	Frederick Douglas HS	Chowan	2024
15	Jonah Kurker	Sr.	DL	6-3	230	West Roxbury, MA		Chowan	2024
78	Noah Horton	Jr.	OL	6-6	350	Roanoke, VA		Chowan	2024
87	Davion Turns Jr.	Fr.	WR	5-11	185	Virginia Beach, VA	Indian River HS	Chowan	2024
88	Amir Alexander	Fr.	WR	6-3	211	Salisbury, NC	North Rowan HS	Chowan	2024
70	William Smothers	Fr.	OL	6-3	330	Sacramento, CA	Fork Union	Chowan	2024
75	Malachi Ford	Jr.	OL	6-3	350	Altoona, PA		Chowan	2024
39	ZiQuiris Ramsey	So.	DB	6-0	180	Mooresville, NC	Mooresville HS	Chowan	2024
31	Booker Peake	Fr.	DB	5-11	190	Goose Creek, SC		Chowan	2024
12	Isaiah Pelham	So.	DB	6-1	190	Vanceboro, NC		Chowan	2024
58	Mazi Wiggins	So.	LB	5-11	210	Williamston, NC	Riverside HS	Chowan	2024
68	Jordan Thomas	Fr.	OL	6-3	280	Port St Lucie, FL	Vero Beach HS	Chowan	2024
50	Jayden Rodriguez	Fr.	DL	5-11	215	Winter Garden, FL	Foundation Academy	Chowan	2024
54	Jordon Williams	Fr.	LB	5-11	215	Long Beach, CA	Cantwell Shaker Hear of Mary HS	Chowan	2024
65	Purnell Richardson	Fr.	OL	6-3	310	Jacksonville, FL	Fork Union	Chowan	2024
79	Andrew Allmond	Jr.	OL	6-8	355	Waldorf, MD	Dematha Catholic	Chowan	2024
82	Antwone Godley	So.	WR	5-11	180	Grimesland, NC		Chowan	2024
84	Jevon Lewis	Fr.	WR	5-9	170	Glen Allen, VA	Hermitage HS	Chowan	2024
97	Wardell Little	Fr.	DB	6-2	180	Grimesland, NC		Chowan	2024
90	Chris Pierre	Fr.	DL	6-0	315	Fort Pierce, FL	Ft. Pierce Westwood HS	Chowan	2024
92	Devyn Ingle	Fr.	DL	6-3	250	Port St Lucie, FL	Ft. Pierce Central HS	Chowan	2024
14	Rodney Green	Fr.	WR	6-3	190	Riviera Beach, FL	Dwyer HS	Chowan	2024
29	Tayshawn Benson	Fr.	DB	5-9	175	Palm Bay, FL	Palm Bay Heritage HS	Chowan	2024
19	Khari Rennie	So.	QB	6-1	220	Orlando, FL	Freedom HS	Chowan	2024
27	Nizaya Hall	So.	RB	5-11	170	Beulaville, NC	East Duplin HS	Chowan	2024
16	Carter Revelle	Fr.	QB	6-4	205	Sanford, NC	Eastern Randolph HS	Chowan	2024
85	Anthony Holloway	Jr.	WR	6-3	180	Arlington, TX		Chowan	2024
37	Michael Whitfield	Fr.	WR	6-3	190	Winterville, NC		Chowan	2024
96	Daheal Harmon	So.	DL	6-3	280	Accomac, VA	Nandua HS	Chowan	2024
91	Otis Ingram	Fr.	DL	6-4	315	Fort Pierce, FL	John Carroll HS	Chowan	2024
36	Reese Harris	Fr.	DB	5-10	175	Ashburn, VA		Chowan	2024
42	Demetric Barnes	Sr.	DL	6-4	255	Stone Mountain, GA	Arabia Mountain HS	Delta St.	2024
35	T.J. Butler	Jr.	DB	5-8	180	Chicago, IL	Dwight D. Eisenhower High School	Delta St.	2024
88	Ty Crowell	Jr.	WR	6-0	205	Columbus, OH	New Hope High School	Delta St.	2024
51	Cooper Gardenhire	Fr.	LB	5-10	205	Farmington, AR	Farmington High School	Delta St.	2024
89	Jaden Gibson	Fr.	WR	6-5	175	Calhoun, LA	Neville High School	Delta St.	2024
58	Austin Collins	Fr.	DE	6-1	220	Memphis, TN	Germantown High School	Delta St.	2024
37	Isaiah Kelsey	Sr.	DB	6-2	NA	Wilmington, DE	Howard Vo-Tech	Delta St.	2024
24	Michael King	Jr.	DB	5-11	190	Memphis, TN	Germantown High School	Delta St.	2024
19	Myles Hopson	Sr.	WR	6-1	185	Madison, MS	Madison Central High School	Delta St.	2024
27	Jonathan James	So.	S	5-9	180	Missouri City, TX	Ridge Point	Delta St.	2024
38	Tre' Shun Johnson	Jr.	LB	6-1	220	Cleveland, MS	Northside High School	Delta St.	2024
31	Marlon Palmer	Jr.	RB	5-9	220	Greenville, MS	Greenville Christian High School	Delta St.	2024
20	Chace Perkins	Jr.	DB	6-1	185	Houston, TX	Westerville High School	Delta St.	2024
97	T.J. Edwards	Fr.	DE	6-1	245	Cordova, TN	Houston High School	Delta St.	2024
16	Garrett Ames	Fr.	QB	6-2	180	Kimberly, AL	Mortimer Jordan High School	Delta St.	2024
80	Timbo Barron	Fr.	TE	6-3	240	Brookwood, AL	Brookwood High School	Delta St.	2024
33	Nick Clark	Fr.	RB	5-7	200	Daphne, AL	Daphne High School	Delta St.	2024
55	Jacob Cox	Sr.	OL	6-3	310	Amory, MS	Amory High School	Delta St.	2024
7	Taylon Doss	Jr.	CB	5-10	186	Shannon, MO	Shannon HS	Delta St.	2024
40	Kaden Dukes	Jr.	DB	6-0	173	Petal, MS	Petal High School	Delta St.	2024
22	Qualon Farrar	Fr.	RB	5-5	191	Dallas, TX	South Oak Cliff HS	Delta St.	2024
94	Jacoby Franklin	Jr.	DL	6-3	275	Belzoni, MS	Humphreys County High School	Delta St.	2024
10	Neno Lemay	Jr.	WR	5-10	180	New Roads, LA	West Feliciana	Delta St.	2024
23	Cameron Threatt	Jr.	DB	6-2	170	Olive Branch, MO	Lewisburg High School	Delta St.	2024
95	Brandon King	Sr.	DL	6-0	290	Ruleville, MO	Cleveland Central HS	Delta St.	2024
12	Jake Lange	Jr.	QB	6-2	194	Jackson, MS	Jackson Prep	Delta St.	2024
9	Curtis Rearden	Jr.	WR	6-2	205	Chicago, IL	DuPont Manual High School	Delta St.	2024
21	Faisal Sokoya	Fr.	DB	6-0	165	Alpharetta, GA	Milton High School	Delta St.	2024
25	JJ Hudson	Sr.	LB	6-5	225	Philadelphia, MS	Philadelphia High School	Delta St.	2024
14	Adam Duncan	Sr.	TE	6-5	231	Ft Worth, TX	Brewer High School	Delta St.	2024
46	Andrew Studer	Jr.	LS	5-9	230	Southaven, MS	DeSoto Central High School	Delta St.	2024
1	Jaylen Green	Sr.	WR	6-0	175	Norcross, GA	Norcross High School	Delta St.	2024
53	Chris Bonner	So.	DL	6-3	230	Selma, AL	Southside High School	Delta St.	2024
29	Nycolis Prudhomme	So.	S	5-8	165	Houston, TX	Benjamin O. Davis Jr. High School	Delta St.	2024
87	Tycen Gray	Sr.	TE	6-3	255	Farmington, MO	Farmington High School	Delta St.	2024
28	Tye Holsey	So.	DB	6-1	195	Mcdonough, GA	Ola High School	Delta St.	2024
73	Aaren Alexander	Jr.	OL	6-3	280	Cordova, TN	Cordova High School	Delta St.	2024
66	Jaelon Brown	Sr.	OL	6-5	340	Montgomery, AL	Park Crossing High School	Delta St.	2024
17	Michael Carley	Sr.	WR	6-5	210	Melbourne, FL	Melbourne Central Catholic High School	Delta St.	2024
47	Wade Cannon	Jr.	LS	6-1	220	Fulton, MS	Itawamba Agricultural High School	Delta St.	2024
11	Jalen May	Sr.	WR	5-10	172	Houston, MS	Houston High School	Delta St.	2024
8	Jordan Jernigan	Sr.	WR	6-2	210	Tupelo, MS	Tupelo High School	Delta St.	2024
85	Alex Rhoades	So.	WR	6-2	175	Milledgeville, GA	Pepperell High School	Delta St.	2024
39	Parker Burleson	Sr.	K	6-0	180	Mathiston, MS	East Webster High School	Delta St.	2024
86	Nick Herber	Sr.	K	5-7	175	Naples, FL	Naples High School	Delta St.	2024
60	Gabe Schweitzer	Sr.	OL	6-4	305	Calera, AL	Calera High School	Delta St.	2024
90	Tylenn Bridges	Sr.	DL	6-1	290	Hollandale, MS	Simmons High School	Delta St.	2024
3	Tamaj Hoffman	So.	RB	5-7	193	Slidell, LA	Slidell High School	Delta St.	2024
71	Gavin Campbell	Sr.	OL	6-5	290	Hernando, MS	DeSoto Central High School	Delta St.	2024
0	Marlon Windham	Sr.	DB	6-1	197	Macon, MS	Noxubee County High School	Delta St.	2024
43	Wyatt Guidry	So.	K	5-10	170	Houma, LA	Terrebonne High School	Delta St.	2024
32	Carter Norrie	Sr.	LB	6-1	223	Lewisville, TX	Hebron High School	Delta St.	2024
18	Cole Kirk	Sr.	QB	6-3	179	Selmer, TN	McNairy Central High School	Delta St.	2024
45	Mario Martin	Sr.	LB	6-1	236	Columbus, MS	Columbus High School	Delta St.	2024
34	Onelio Rios	Jr.	LB	6-0	225	Miami, FL	Mater Academy Charter High School	Delta St.	2024
82	Alphus Shipman	Jr.	WR	6-1	175	Tuscaloosa, AL	Paul W. Bryant High School	Delta St.	2024
6	Carl Hopkins	Jr.	DB	6-2	190	Montgomery, AL	Carver Montgomery High School	Delta St.	2024
54	Ahmir Taylor	Sr.	DL	6-1	240	Starkville, MS	Starkville High School	Delta St.	2024
57	Antoine Washington	So.	DL	6-3	225	Hollandale, MS	Simmons High School	Delta St.	2024
70	Logan Browning	Jr.	OL	6-6	275	Centreville, AL	Bibb County High School	Delta St.	2024
96	Devin Squires	Sr.	DL	6-1	249	Kings Mills, OH	Kings High School	Delta St.	2024
13	Omarion Foster	So.	S	6-2	170	Piedmont, AL	Piedmont High School	Delta St.	2024
4	William Carter	Jr.	DB	6-1	198	Birmingham, AL	Wenoah High School	Delta St.	2024
77	Jacob McCaskill	Jr.	OL	6-5	280	Saint Amant, LA	St. Amant High School	Delta St.	2024
36	William Jenkins	Sr.	LB	6-0	215	Decatur, GA	Cedar Grove High School	Delta St.	2024
72	Jessie Shorts	Sr.	OL	6-5	285	Roxie, MS	Franklin High School	Delta St.	2024
93	Joseph Barton	Sr.	DL	6-1	195	Lena, MS	Leak County High School	Delta St.	2024
81	Carter Coullard	Jr.	TE	6-3	250	Lake Providence, LA	Briarfield Academy	Delta St.	2024
2	Jarius McFarland	Sr.	DB	5-9	165	Hattiesburg, MS	Hattiesburg High School	Delta St.	2024
63	Steven Wakefield	Sr.	OL	6-1	280	Athens, GA	Cedar Shoals High School	Delta St.	2024
30	Joshua Phillips	Sr.	LB	6-3	220	Grenada, MS	Grenada High School	Delta St.	2024
15	Reed Miller	Fr.	QB	6-1	185	Yazoo City, MS	Yazoo County High School	Delta St.	2024
26	Tavian Moore	So.	DB	5-11	195	Huntsville, AL	Buckhorn High School	Delta St.	2024
52	QuDarius Hodges	Sr.	OL	6-3	306	Batesville, MS	South Panola High School	Delta St.	2024
69	Nolan Troyer	Sr.	OL	6-2	290	Riverview, FL	Armwood High School	Delta St.	2024
5	Kelvin Smith	Sr.	RB	5-8	207	Columbus, MS	Heritage Academy	Delta St.	2024
56	Clay Barr	Fr.	LB	6-1	220	Daphne, AL	St. Michael Catholic	Delta St.	2024
75	Connor Jones	So.	OL	6-5	290	Troy, AL	Charles Henderson High School	Delta St.	2024
50	Cade Renfroe	So.	LB	6-1	205	Troy, AL	Pike Liberal Arts School	Delta St.	2024
78	Jackson Davenport	Fr.	OL	6-3	285	Pelham, AL	Pelham High School	Delta St.	2024
74	Aedan Hogan	Fr.	OL	6-4	285	Houston, TX	Kinkaid School	Delta St.	2024
59	De' Meric Strong	Jr.	DL	6-0	245	Clarksdale, MS	Clarksdale High School	Delta St.	2024
65	Kam Wright	So.	OL	6-4	290	Mound Bayou, MS	Northside High School	Delta St.	2024
41	Cannon McClain	Fr.	DB	6-4	170	Hattiesburg, MS	Presbyterian Christian School	Delta St.	2024
49	Colin Southward	Jr.	DB	5-9	180	Tupelo, MS	Tupelo High School	Delta St.	2024
48	Kendall Lee	Fr.	LB	6-0	185	Loganville, GA	Archer High School	Delta St.	2024
73	Garrison Owens	Jr.	OL	6-7	330	Barnwell, SC	Jefferson Davis Academy	Erskine	2024
50	Adam Branchedor	Jr.	DL	6-2	220			Erskine	2024
17	Taylor Rhodes	So.	WR	6-1	190	Saint Augustine, FL	Bartram Trail	Erskine	2024
3	Kyle Winchester	Fr.	DB	5-10	170			Erskine	2024
7	Taz Walker	So.	QB	6-0	175			Erskine	2024
13	Hakeem Holmes	Fr.	WR	6-4	185	Cordele, GA	Crisp County	Erskine	2024
15	Gary Maddox III	Fr.	LB	5-10	205	Commerce, GA	East Jackson Comprehensive	Erskine	2024
15	Marcus Taylor	So.	RB	5-8	180			Erskine	2024
97	Seth Vaughn	Fr.	K	6-0	185			Erskine	2024
99	Derick Simon, Jr.	Fr.	DL	6-3	270			Erskine	2024
6	Cori Davis	Sr.	RB	5-9	195			Erskine	2024
14	Cameron VanGeison	Jr.	DL	6-2	200			Erskine	2024
22	Flen Larkin	Fr.	DB	6-1	170	Newnan, GA	East Coweta	Erskine	2024
85	Demarius Prophet	So.	TE	6-3	220	Chapin, SC	Chapin	Erskine	2024
63	Gage Rinehart	So.	OL	6-1	285	Saluda, SC	Saluda	Erskine	2024
2	Breylon Boyd	Fr.	QB	6-0	205	Spartanburg, SC		Erskine	2024
43	Cali Gober	Fr.	LB	6-0	200	Tucker, GA		Erskine	2024
44	Osten Patterson	Fr.	DL	6-5	250	Miami, FL	Miami Killian Senior	Erskine	2024
45	Quincy Bias	Jr.	DB	6-1	200	Bamberg, SC		Erskine	2024
88	Josiah Burson	Fr.	WR	6-1	205		Laurence Manning Academy	Erskine	2024
89	Garrett Burns	Fr.	WR	6-2	190	Attalla, AL	Sardis	Erskine	2024
78	Jhon Joseph	Sr.	OL	6-4	255	Fort Lauderdale, FL	Advance Prep Academy	Erskine	2024
76	Tysen Chadwick	Fr.	OL	6-5	260	Oviedo, FL	The Master's Academy	Erskine	2024
47	Ja'Shaun Dorsey	Fr.	DB	6-1	170	Kingstree, SC		Erskine	2024
92	Tyranny McGowan	Fr.	DL	5-10	300	Columbus, GA	Columbus	Erskine	2024
77	Justin Moore	Fr.	OL	6-2	380	Tyrone, GA	Sandy Creek	Erskine	2024
96	Voncie Evans	Fr.	DL	6-5	245	Lithia Springs, GA	Lithia Springs	Erskine	2024
10	Noah Eskridge	Fr.	LB	6-1	230	Hueytown, AL		Erskine	2024
42	Dylan Beauford	Sr.	K	5-10	175			Erskine	2024
21	Dylan Locklear	Fr.	DB	5-11	180	Camden, SC	Camden	Erskine	2024
4	Kylan Simmons	Sr.	RB	5-11	225			Erskine	2024
1	Marquell Brown	Sr.	WR	5-7	180	Savannah, GA		Erskine	2024
24	Tyler Grake	So.	DB	5-9	165	Columbia, SC		Erskine	2024
14	Corey Johnston	Jr.	WR	6-2	210	Snellville, GA	South Gwinnett	Erskine	2024
7	Joshua Kamoto	Sr.	LB	6-1	220	Piedmont, SC	Woodmont	Erskine	2024
25	Jamaar Moore	Sr.	DB	6-2	195	Rock Hill, SC	Northwestern	Erskine	2024
19	Johnmond Howard	So.	LB	6-0	215	Conyers, GA	Heritage	Erskine	2024
62	Ni'jah Simpson	Fr.	OL	6-4	305			Erskine	2024
11	Blake Skelton	Jr.	DL	6-3	230			Erskine	2024
9	Rodshaun Dorsey	Fr.	WR	6-5	205	Andrews, SC		Erskine	2024
5	Garrick Schwartz	Jr.	DL	6-1	225			Erskine	2024
11	Craig Pender	Sr.	QB	6-0	205	Barnwell, SC	Barnwell	Erskine	2024
95	Justin Furbush	So.	DL	6-0	260	Atlanta, GA	Westlake	Erskine	2024
52	JaQuez Randolph	Jr.	OL	6-0	260	Brunswick, GA	Glynn Academy	Erskine	2024
12	Ethan Damron	Sr.	QB	6-1	210	Green Sea, SC		Erskine	2024
16	Jalen Samuels	Sr.	RB	5-10	230			Erskine	2024
34	Ephraim Liria	Jr.	DB	5-9	185	Fort Lauderdale, FL	J.P. Taravella	Erskine	2024
55	Hart Cushman	So.	OL	6-1	275	Beaufort, SC		Erskine	2024
32	Jakai Robinson	So.	DB	5-11	195			Erskine	2024
1	Joshua Thomas	Jr.	DB	5-11	190			Erskine	2024
8	Munashe Lancaster	Sr.	LB	6-1	230	Newberry, FL	Newberry	Erskine	2024
70	Max Garrido	Jr.	OL	6-1	280	Summerville, SC	Fort Dorchester	Erskine	2024
65	Colin Sanders	So.	OL	6-2	265			Erskine	2024
17	Myles Mayhorn	Jr.	DB	6-0	175	Snellville, GA	Brookwood	Erskine	2024
16	Ethan Knox	Fr.	DB	6-0	185	Myrtle Beach, SC	Socastee	Erskine	2024
0	Austin Parker	Sr.	QB	5-8	125	Lula, GA	East Hall	Erskine	2024
23	Ernest Williams	So.	LB	6-0	215			Erskine	2024
3	Clay Pender	Fr.	WR	6-1	190	Barnwell, SC	Barnwell	Erskine	2024
18	Wyatt Smith	Jr.	TE	6-6	235			Erskine	2024
20	Mike Pedro	So.	TE	6-2	230	Orlando, FL	Edgewater	Erskine	2024
40	William Suber	Jr.	TE	6-3	235			Erskine	2024
12	Andrew Melton	Jr.	DB	5-10	170	Inman, SC	Chapman	Erskine	2024
27	Peyton Mathis	So.	DL	6-0	210	Lexington, SC	Lexington	Erskine	2024
38	Ant Murphy	Fr.	DB	6-0	185	Piedmont, SC	Powdersville	Erskine	2024
58	Scout Harr	Fr.	OL	6-5	295	Blountstown, FL	Liberty County	Erskine	2024
9	Tre Devaux	So.	DL	6-0	230	Anderson, SC		Erskine	2024
5	Taeshaun Sellers	Fr.	WR	6-1	200			Erskine	2024
10	Trevor Milliken	Fr.	WR	6-0	195	Florence, SC	West Florence	Erskine	2024
26	Makai Parton	Jr.	RB	6-0	205	Pacific, MO	Pacific	Erskine	2024
30	Miller Shouse	So.	DL	6-1	260			Erskine	2024
4	Jeremy Bland	So.	LB	6-0	230	Greenwood, SC		Erskine	2024
79	Noah McMicken	So.	OL	6-4	290	Lakeland, FL	Lakeland Senior	Erskine	2024
8	Khamis Wilson	Fr.	WR	6-3	195			Erskine	2024
6	Hayden Redders	Fr.	DB	6-3	190	Moncks Corner, SC		Erskine	2024
60	Matt Rotkis	So.	OL	6-2	285			Erskine	2024
18	Dalan Thornton	Fr.	DB	5-10	170			Erskine	2024
2	Landon Zeigler	So.	DB	6-1	200			Erskine	2024
33	Rashad Luckey	Sr.	RB	5-11	230	Greenville, SC	St. Joseph's Catholic School	Erskine	2024
29	Kenny Hollinger	Fr.	DB	5-9	160	Decatur, GA	Arabia Mountain	Erskine	2024
39	Quadir Scott	Fr.	DB	6-0	175			Erskine	2024
98	Ethan Miller	Fr.	K	5-11	185	Powdersville, SC	Powdersville	Erskine	2024
28	Dontrell Thompson	So.	DB	6-2	175			Erskine	2024
72	Connor Speller	Fr.	OL	6-3	270			Erskine	2024
80	Aiden Greer	Fr.	WR	6-1	190			Erskine	2024
82	Will Roper	Fr.	TE	6-2	215			Erskine	2024
84	Markis Wells III	Fr.	WR	6-1	165			Erskine	2024
91	Marvin Scott	Fr.	DL	6-4	255			Erskine	2024
86	Malik Shippy	Fr.	WR	6-2	180			Erskine	2024
49	Weston Bergman	Fr.	DB	6-1	190	Canton, GA		Erskine	2024
64	Chris Brown	Fr.	DL	5-10	240	Cumming, GA	South Forsyth	Erskine	2024
51	E'vonta Bannister	Fr.	LB	6-2	225	Manning, SC		Erskine	2024
54	Leon Robinson	Fr.	DL	6-3	245			Erskine	2024
57	Levaun Hall	Fr.	LB	5-8	215	Tampa, FL		Erskine	2024
94	Jared Holmes	Fr.	DL	6-1	295	Columbia, SC	Brookland-Cayce	Erskine	2024
41	Taylor Cline	Fr.	DB	6-1	180	Apopka, FL		Erskine	2024
19	Aidan Canzater	So.	RB	5-8	180	Columbia, SC		Erskine	2024
61	Kevin Cobbs	Fr.	OL	6-1	230	Ridgeville, SC	Ashley Ridge	Erskine	2024
48	Keaton Cooley	Fr.	DB	6-0	175	Summerville, SC		Erskine	2024
71	Trent Curry	Fr.	OL	5-11	230	Eastover, SC	Gray Collegiate Academy	Erskine	2024
87	Kole Elliott	Fr.	WR	6-3	175	Summerton, SC	Clarendon Hall	Erskine	2024
59	Jayden Ferguson	Fr.	OL	6-2	320	Summerville, SC		Erskine	2024
83	Marquies Lattner	Fr.	WR	5-8	185	Macon, GA	Rutland	Erskine	2024
74	Hunter Layne	Fr.	OL	6-2	315	York, SC	York Comprehensive	Erskine	2024
90	Jay Martin	So.	DL	5-11	290	Clinton, SC	Clinton	Erskine	2024
93	Key Moran	Fr.	K	6-0	185	Evans, GA	Greenbrier	Erskine	2024
67	Preston Murphy	Fr.	OL	6-3	315	North Charleston, SC	Fort Dorchester	Erskine	2024
69	Jeremiah Phillips	Fr.	OL	6-3	240	Hinesville, GA	Liberty County	Erskine	2024
66	Andrew Maurice	Fr.	OL	6-4	295	Barnesville, GA	Lamar County	Erskine	2024
75	Colyn Ott	Jr.	OL	6-3	285	Lexington, SC	Lexington	Erskine	2024
31	Dameion Thompson	Jr.	DB	5-11	140			Erskine	2024
35	Antonio Gonzalez-Rodriguez	Fr.	DB	5-10	170	North Charleston, SC		Erskine	2024
53	Myles Robertson	Fr.	LB	5-11	200	Ridgeway, SC	Fairfield Central	Erskine	2024
13	Josiah Gilmore	So.	DB	5-10	165	Columbia, SC		Erskine	2024
37	Richard Harding	So.	LB	-	NA			Erskine	2024
46	Taylor Holloman	Fr.	LB	5-8	195	Atlanta, GA	Druid Hills	Erskine	2024
68	Will Hicks	Fr.	DL	6-3	330	Atlanta, GA	Booker T. Washington	Erskine	2024
7	Cameron Rutledge	So.	DB	-	NA			Mississippi College	2024
1	Stefan Cameron	Jr.	CB	5-11	185	Saint Louis, MO		Mississippi College	2024
2	Jacob Stephens	Sr.	WR	-	NA			Mississippi College	2024
3	JJ Daniels	So.	WR	5-9	170	Lake Cormorant, MS	Lake Cormorant HS	Mississippi College	2024
6	Pete Zamora	Fr.	QB	-	NA			Mississippi College	2024
1	Sirr Trotter	Jr.	WR	-	NA			Mississippi College	2024
6	Chris Butler	Sr.	DB	-	NA			Mississippi College	2024
20	Preston Godfrey	Fr.	RB	-	NA			Mississippi College	2024
23	Jalyn Nickleberry	Jr.	DE	-	NA			Mississippi College	2024
50	Barrett Cain	Fr.	C	-	NA			Mississippi College	2024
71	Rya Shine	Fr.	OL	-	NA			Mississippi College	2024
74	Scott St. Aubin	Jr.	OL	-	NA			Mississippi College	2024
95	Aaron Robinson	Jr.	DL	-	NA			Mississippi College	2024
29	Tyler Thornton	Fr.	DL	-	NA			Mississippi College	2024
33	Andrew Temko	Fr.	LB	-	NA			Mississippi College	2024
75	Kenny Walker	Jr.	OL	-	NA			Mississippi College	2024
57	Mitchell Butler	Fr.	OL	6-4	235	Meridian, MS	Northeast Lauderdale HS	Mississippi College	2024
18	Kaden Cupp	Jr.	WR	-	NA			Mississippi College	2024
91	UNKNOWN Unknown	---		-	NA			Mississippi College	2024
10	Justin Efebera	Sr.	DB	-	NA			Mississippi College	2024
45	MarQuez Grace	Sr.	DL	-	NA			Mississippi College	2024
7	Lamonte James	Jr.	RB	-	NA			Mississippi College	2024
37	Daughtry McGhee	Fr.	DB	-	NA			Mississippi College	2024
13	Desmond Young	Jr.	WR	6-1	205	Bastrop, TX	Bastrop	Mississippi College	2024
16	Jonathan Vaughn	Fr.	DB	5-10	190	Meridian, MS	Meridian HS	Mississippi College	2024
56	Jaquez Tucker	Jr.	DL	-	NA			Mississippi College	2024
51	Labron Baldwin	Fr.	OL	-	NA			Mississippi College	2024
22	Chase Rush	Sr.	LB	-	NA			Mississippi College	2024
9	Tyson Keys	Sr.	TE	-	NA			Mississippi College	2024
12	Eli Anderson	Jr.	QB	-	NA			Mississippi College	2024
15	Braydon Walker	Jr.	WR	-	NA			Mississippi College	2024
41	Clayton Noblitt	Fr.	LS	-	NA			Mississippi College	2024
