school_name,links,team_id,year
Mo. Southern St.,/teams/83274,83274,2015
Morehouse,/teams/83190,83190,2015
N.M. Highlands,/teams/83268,83268,2015
Neb.-Kearney,/teams/83241,83241,2015
New Haven,/teams/83191,83191,2015
Newberry,/teams/83247,83247,2015
North Ala.,/teams/83192,83192,2015
North Greenville,/teams/83277,83277,2015
Northeastern St.,/teams/83281,83281,2015
Northern Mich.,/teams/83194,83194,2015
Northern St.,/teams/83248,83248,2015
Northwest Mo. St.,/teams/83195,83195,2015
Northwood,/teams/83196,83196,2015
Notre Dame (OH),/teams/83294,83294,2015
Ohio Dominican,/teams/83291,83291,2015
Okla. Panhandle,/teams/83283,83283,2015
Ouachita Baptist,/teams/83249,83249,2015
Pace,/teams/83197,83197,2015
Paine,/teams/83198,83198,2015
Pittsburg St.,/teams/83250,83250,2015
Quincy,/teams/83200,83200,2015
Saginaw Valley,/teams/83201,83201,2015
Saint Augustine's,/teams/83203,83203,2015
Seton Hill,/teams/83286,83286,2015
Shaw,/teams/83206,83206,2015
Shepherd,/teams/83279,83279,2015
Shippensburg,/teams/83207,83207,2015
Shorter,/teams/83304,83304,2015
Simon Fraser,/teams/83295,83295,2015
Sioux Falls,/teams/83296,83296,2015
Slippery Rock,/teams/83208,83208,2015
South Dakota Mines,/teams/83301,83301,2015
Southeastern Okla.,/teams/83251,83251,2015
Southern Ark.,/teams/83252,83252,2015
Southern Conn. St.,/teams/83209,83209,2015
Southern Nazarene,/teams/83305,83305,2015
Southwest Baptist,/teams/83263,83263,2015
Southwest Minn. St.,/teams/83269,83269,2015
Southwestern Okla.,/teams/83270,83270,2015
St. Anselm,/teams/83202,83202,2015
St. Cloud St.,/teams/83204,83204,2015
St. Joseph's (IN),/teams/83205,83205,2015
Stillman,/teams/83210,83210,2015
Stonehill,/teams/83211,83211,2015
Tarleton St.,/teams/83253,83253,2015
Tex. A&M-Kingsville,/teams/83212,83212,2015
Tiffin,/teams/83254,83254,2015
Truman St.,/teams/83193,83193,2015
Tusculum,/teams/83282,83282,2015
Tuskegee,/teams/83213,83213,2015
UIndy,/teams/83168,83168,2015
UNC Pembroke,/teams/83199,83199,2015
Upper Iowa,/teams/83214,83214,2015
Urbana,/teams/83290,83290,2015
Utah Tech,/teams/83289,83289,2015
Valdosta St.,/teams/83215,83215,2015
Virginia St.,/teams/83216,83216,2015
Virginia Union,/teams/83217,83217,2015
Walsh,/teams/83302,83302,2015
Washburn,/teams/83265,83265,2015
Wayne St. (MI),/teams/83218,83218,2015
Wayne St. (NE),/teams/83255,83255,2015
West Ala.,/teams/83176,83176,2015
West Chester,/teams/83219,83219,2015
West Ga.,/teams/83220,83220,2015
West Liberty,/teams/83256,83256,2015
West Tex. A&M,/teams/83221,83221,2015
West Va. Wesleyan,/teams/83278,83278,2015
West Virginia St.,/teams/83257,83257,2015
Western Colo.,/teams/83264,83264,2015
Western N.M.,/teams/83258,83258,2015
Western Ore.,/teams/83259,83259,2015
William Jewell,/teams/83292,83292,2015
Wingate,/teams/83260,83260,2015
Winona St.,/teams/83222,83222,2015
Winston-Salem,/teams/83223,83223,2015
Adams St.,/teams/19285,19285,2016
Albany St. (GA),/teams/19198,19198,2016
Alderson Broaddus,/teams/19286,19286,2016
American Int'l,/teams/19199,19199,2016
Angelo St.,/teams/19200,19200,2016
Ark.-Monticello,/teams/19327,19327,2016
Arkansas Tech,/teams/19287,19287,2016
Ashland,/teams/19201,19201,2016
Assumption,/teams/19202,19202,2016
Augustana (SD),/teams/19203,19203,2016
Azusa Pacific,/teams/19363,19363,2016
Bemidji St.,/teams/19204,19204,2016
Benedict,/teams/19205,19205,2016
Bentley,/teams/19206,19206,2016
Black Hills St.,/teams/19357,19357,2016
Bloomsburg,/teams/19207,19207,2016
Bowie St.,/teams/19208,19208,2016
Brevard,/teams/19348,19348,2016
CSU Pueblo,/teams/19322,19322,2016
Cal Poly Humboldt,/teams/19228,19228,2016
California (PA),/teams/19209,19209,2016
Carson-Newman,/teams/19288,19288,2016
Catawba,/teams/19289,19289,2016
Central Mo.,/teams/19210,19210,2016
Central Okla.,/teams/19290,19290,2016
Central St. (OH),/teams/19345,19345,2016
Central Wash.,/teams/19291,19291,2016
Chadron St.,/teams/19292,19292,2016
Charleston (WV),/teams/19293,19293,2016
Cheyney,/teams/19211,19211,2016
Chowan,/teams/19331,19331,2016
Clarion,/teams/19212,19212,2016
Clark Atlanta,/teams/19213,19213,2016
Colo. Sch. of Mines,/teams/19214,19214,2016
Colorado Mesa,/teams/19340,19340,2016
Concord,/teams/19294,19294,2016
Concordia-St. Paul,/teams/19336,19336,2016
Delta St.,/teams/19215,19215,2016
East Central,/teams/19332,19332,2016
East Stroudsburg,/teams/19216,19216,2016
East Texas A&M,/teams/19217,19217,2016
Eastern N.M.,/teams/19218,19218,2016
Edinboro,/teams/19219,19219,2016
Elizabeth City St.,/teams/19220,19220,2016
Emporia St.,/teams/19295,19295,2016
Fairmont St.,/teams/19296,19296,2016
Fayetteville St.,/teams/19221,19221,2016
Ferris St.,/teams/19222,19222,2016
Findlay,/teams/19297,19297,2016
Florida Tech,/teams/19223,19223,2016
Fort Hays St.,/teams/19333,19333,2016
Fort Lewis,/teams/19298,19298,2016
Fort Valley St.,/teams/19224,19224,2016
Gannon,/teams/19225,19225,2016
Glenville St.,/teams/19299,19299,2016
Grand Valley St.,/teams/19226,19226,2016
Harding,/teams/19300,19300,2016
Henderson St.,/teams/19301,19301,2016
Hillsdale,/teams/19227,19227,2016
Indiana (PA),/teams/19229,19229,2016
Johnson C. Smith,/teams/19231,19231,2016
Kentucky St.,/teams/19232,19232,2016
Kutztown,/teams/19234,19234,2016
Ky. Wesleyan,/teams/19233,19233,2016
LIU Post,/teams/19241,19241,2016
Lake Erie,/teams/19323,19323,2016
Lane,/teams/19235,19235,2016
Lenoir-Rhyne,/teams/19303,19303,2016
Limestone,/teams/19304,19304,2016
Lincoln (MO),/teams/19236,19236,2016
Lincoln (PA),/teams/19237,19237,2016
Lindenwood,/teams/19358,19358,2016
Livingstone,/teams/19239,19239,2016
Lock Haven,/teams/19240,19240,2016
MSU Moorhead,/teams/19307,19307,2016
Malone,/teams/19359,19359,2016
Mars Hill,/teams/19305,19305,2016
Mary,/teams/19347,19347,2016
McKendree,/teams/19360,19360,2016
Mercyhurst,/teams/19243,19243,2016
Merrimack,/teams/19244,19244,2016
Michigan Tech,/teams/19245,19245,2016
Midwestern St.,/teams/19306,19306,2016
Miles,/teams/19246,19246,2016
Millersville,/teams/19247,19247,2016
Minn. Duluth,/teams/19248,19248,2016
Minn.-Crookston,/teams/19344,19344,2016
Minnesota St.,/teams/19242,19242,2016
Minot St.,/teams/19353,19353,2016
Mississippi Col.,/teams/19249,19249,2016
Missouri S&T,/teams/19250,19250,2016
Missouri Western,/teams/19335,19335,2016
Mo. Southern St.,/teams/19334,19334,2016
Morehouse,/teams/19251,19251,2016
N.M. Highlands,/teams/19328,19328,2016
Neb.-Kearney,/teams/19302,19302,2016
New Haven,/teams/19252,19252,2016
Newberry,/teams/19308,19308,2016
North Ala.,/teams/19253,19253,2016
North Greenville,/teams/19337,19337,2016
Northeastern St.,/teams/19341,19341,2016
Northern Mich.,/teams/19255,19255,2016
Northern St.,/teams/19309,19309,2016
Northwest Mo. St.,/teams/19256,19256,2016
Northwestern Okla.,/teams/19366,19366,2016
Northwood,/teams/19257,19257,2016
Notre Dame (OH),/teams/19354,19354,2016
Ohio Dominican,/teams/19351,19351,2016
Okla. Baptist,/teams/19368,19368,2016
Okla. Panhandle,/teams/19343,19343,2016
Ouachita Baptist,/teams/19310,19310,2016
Pace,/teams/19258,19258,2016
Paine,/teams/19259,19259,2016
Pittsburg St.,/teams/19311,19311,2016
Quincy,/teams/19261,19261,2016
Saginaw Valley,/teams/19262,19262,2016
Saint Augustine's,/teams/19264,19264,2016
Seton Hill,/teams/19346,19346,2016
Shaw,/teams/19267,19267,2016
Shepherd,/teams/19339,19339,2016
Shippensburg,/teams/19268,19268,2016
Shorter,/teams/19364,19364,2016
Simon Fraser,/teams/19355,19355,2016
Sioux Falls,/teams/19356,19356,2016
Slippery Rock,/teams/19269,19269,2016
South Dakota Mines,/teams/19361,19361,2016
Southeastern Okla.,/teams/19312,19312,2016
Southern Ark.,/teams/19313,19313,2016
Southern Conn. St.,/teams/19270,19270,2016
Southern Nazarene,/teams/19365,19365,2016
Southwest Baptist,/teams/19324,19324,2016
Southwest Minn. St.,/teams/19329,19329,2016
Southwestern Okla.,/teams/19330,19330,2016
St. Anselm,/teams/19263,19263,2016
St. Cloud St.,/teams/19265,19265,2016
St. Joseph's (IN),/teams/19266,19266,2016
Stillman,/teams/19271,19271,2016
Stonehill,/teams/19272,19272,2016
Tarleton St.,/teams/19314,19314,2016
Tex. A&M-Kingsville,/teams/19273,19273,2016
Tiffin,/teams/19315,19315,2016
Truman St.,/teams/19254,19254,2016
Tusculum,/teams/19342,19342,2016
Tuskegee,/teams/19274,19274,2016
UIndy,/teams/19230,19230,2016
UNC Pembroke,/teams/19260,19260,2016
UVA Wise,/teams/19367,19367,2016
Upper Iowa,/teams/19275,19275,2016
Urbana,/teams/19350,19350,2016
Utah Tech,/teams/19349,19349,2016
Valdosta St.,/teams/19276,19276,2016
Virginia St.,/teams/19277,19277,2016
Virginia Union,/teams/19278,19278,2016
Walsh,/teams/19362,19362,2016
Washburn,/teams/19326,19326,2016
Wayne St. (MI),/teams/19279,19279,2016
Wayne St. (NE),/teams/19316,19316,2016
West Ala.,/teams/19238,19238,2016
West Chester,/teams/19280,19280,2016
West Ga.,/teams/19281,19281,2016
West Liberty,/teams/19317,19317,2016
West Tex. A&M,/teams/19282,19282,2016
West Va. Wesleyan,/teams/19338,19338,2016
West Virginia St.,/teams/19318,19318,2016
Western Colo.,/teams/19325,19325,2016
Western N.M.,/teams/19319,19319,2016
Western Ore.,/teams/19320,19320,2016
William Jewell,/teams/19352,19352,2016
Wingate,/teams/19321,19321,2016
Winona St.,/teams/19283,19283,2016
Winston-Salem,/teams/19284,19284,2016
Adams St.,/teams/66245,66245,2017
Albany St. (GA),/teams/66160,66160,2017
Alderson Broaddus,/teams/66246,66246,2017
American Int'l,/teams/66161,66161,2017
Angelo St.,/teams/66162,66162,2017
Ark.-Monticello,/teams/66287,66287,2017
Arkansas Tech,/teams/66247,66247,2017
Ashland,/teams/66163,66163,2017
Assumption,/teams/66164,66164,2017
Augustana (SD),/teams/66165,66165,2017
Azusa Pacific,/teams/66325,66325,2017
Bemidji St.,/teams/66166,66166,2017
Benedict,/teams/66167,66167,2017
Bentley,/teams/66168,66168,2017
Black Hills St.,/teams/66319,66319,2017
Bloomsburg,/teams/66169,66169,2017
Bowie St.,/teams/66170,66170,2017
Brevard,/teams/66310,66310,2017
CSU Pueblo,/teams/66282,66282,2017
Cal Poly Humboldt,/teams/66190,66190,2017
California (PA),/teams/66171,66171,2017
Carson-Newman,/teams/66248,66248,2017
Catawba,/teams/66249,66249,2017
Central Mo.,/teams/66172,66172,2017
Central Okla.,/teams/66250,66250,2017
Central St. (OH),/teams/66306,66306,2017
Central Wash.,/teams/66251,66251,2017
Chadron St.,/teams/66252,66252,2017
Charleston (WV),/teams/66253,66253,2017
Cheyney,/teams/66173,66173,2017
Chowan,/teams/66291,66291,2017
Clarion,/teams/66174,66174,2017
Clark Atlanta,/teams/66175,66175,2017
Colo. Sch. of Mines,/teams/66176,66176,2017
Colorado Mesa,/teams/66300,66300,2017
Concord,/teams/66254,66254,2017
Concordia-St. Paul,/teams/66296,66296,2017
Davenport,/teams/66331,66331,2017
Delta St.,/teams/66177,66177,2017
East Central,/teams/66292,66292,2017
East Stroudsburg,/teams/66178,66178,2017
East Texas A&M,/teams/66179,66179,2017
Eastern N.M.,/teams/66180,66180,2017
Edinboro,/teams/66181,66181,2017
Elizabeth City St.,/teams/66182,66182,2017
Emporia St.,/teams/66255,66255,2017
Fairmont St.,/teams/66256,66256,2017
Fayetteville St.,/teams/66183,66183,2017
Ferris St.,/teams/66184,66184,2017
Findlay,/teams/66257,66257,2017
Florida Tech,/teams/66185,66185,2017
Fort Hays St.,/teams/66293,66293,2017
Fort Lewis,/teams/66258,66258,2017
Fort Valley St.,/teams/66186,66186,2017
Gannon,/teams/66187,66187,2017
Glenville St.,/teams/66259,66259,2017
Grand Valley St.,/teams/66188,66188,2017
Harding,/teams/66260,66260,2017
Henderson St.,/teams/66261,66261,2017
Hillsdale,/teams/66189,66189,2017
Indiana (PA),/teams/66191,66191,2017
Johnson C. Smith,/teams/66193,66193,2017
Kentucky St.,/teams/66194,66194,2017
Kutztown,/teams/66196,66196,2017
Ky. Wesleyan,/teams/66195,66195,2017
LIU Post,/teams/66203,66203,2017
Lake Erie,/teams/66283,66283,2017
Lane,/teams/66197,66197,2017
Lenoir-Rhyne,/teams/66263,66263,2017
Limestone,/teams/66264,66264,2017
Lincoln (MO),/teams/66198,66198,2017
Lincoln (PA),/teams/66199,66199,2017
Lindenwood,/teams/66320,66320,2017
Livingstone,/teams/66201,66201,2017
Lock Haven,/teams/66202,66202,2017
MSU Moorhead,/teams/66267,66267,2017
Malone,/teams/66321,66321,2017
Mars Hill,/teams/66265,66265,2017
Mary,/teams/66308,66308,2017
McKendree,/teams/66322,66322,2017
Mercyhurst,/teams/66205,66205,2017
Merrimack,/teams/66206,66206,2017
Michigan Tech,/teams/66207,66207,2017
Midwestern St.,/teams/66266,66266,2017
Miles,/teams/66208,66208,2017
Millersville,/teams/66209,66209,2017
Minn. Duluth,/teams/66210,66210,2017
Minn.-Crookston,/teams/66305,66305,2017
Minnesota St.,/teams/66204,66204,2017
Minot St.,/teams/66315,66315,2017
Mississippi Col.,/teams/66211,66211,2017
Missouri S&T,/teams/66212,66212,2017
Missouri Western,/teams/66295,66295,2017
Mo. Southern St.,/teams/66294,66294,2017
Morehouse,/teams/66213,66213,2017
N.M. Highlands,/teams/66288,66288,2017
Neb.-Kearney,/teams/66262,66262,2017
New Haven,/teams/66214,66214,2017
Newberry,/teams/66268,66268,2017
North Ala.,/teams/66215,66215,2017
North Greenville,/teams/66297,66297,2017
Northeastern St.,/teams/66302,66302,2017
Northern Mich.,/teams/66217,66217,2017
Northern St.,/teams/66269,66269,2017
Northwest Mo. St.,/teams/66218,66218,2017
Northwestern Okla.,/teams/66328,66328,2017
Northwood,/teams/66219,66219,2017
Notre Dame (OH),/teams/66316,66316,2017
Ohio Dominican,/teams/66313,66313,2017
Okla. Baptist,/teams/66330,66330,2017
Okla. Panhandle,/teams/66304,66304,2017
Ouachita Baptist,/teams/66270,66270,2017
Pace,/teams/66220,66220,2017
Pittsburg St.,/teams/66271,66271,2017
Quincy,/teams/66222,66222,2017
Saginaw Valley,/teams/66223,66223,2017
Saint Augustine's,/teams/66225,66225,2017
Seton Hill,/teams/66307,66307,2017
Shaw,/teams/66228,66228,2017
Shepherd,/teams/66299,66299,2017
Shippensburg,/teams/66229,66229,2017
Shorter,/teams/66326,66326,2017
Simon Fraser,/teams/66317,66317,2017
Sioux Falls,/teams/66318,66318,2017
Slippery Rock,/teams/66230,66230,2017
South Dakota Mines,/teams/66323,66323,2017
Southeastern Okla.,/teams/66272,66272,2017
Southern Ark.,/teams/66273,66273,2017
Southern Conn. St.,/teams/66231,66231,2017
Southern Nazarene,/teams/66327,66327,2017
Southwest Baptist,/teams/66284,66284,2017
Southwest Minn. St.,/teams/66289,66289,2017
Southwestern Okla.,/teams/66290,66290,2017
St. Anselm,/teams/66224,66224,2017
St. Cloud St.,/teams/66226,66226,2017
St. Joseph's (IN),/teams/66227,66227,2017
Stonehill,/teams/66232,66232,2017
Tarleton St.,/teams/66274,66274,2017
Tex. A&M-Kingsville,/teams/66233,66233,2017
Tex. Permian Basin,/teams/66309,66309,2017
Tiffin,/teams/66275,66275,2017
Truman St.,/teams/66216,66216,2017
Tusculum,/teams/66303,66303,2017
Tuskegee,/teams/66234,66234,2017
UIndy,/teams/66192,66192,2017
UNC Pembroke,/teams/66221,66221,2017
UVA Wise,/teams/66329,66329,2017
Upper Iowa,/teams/66235,66235,2017
Urbana,/teams/66312,66312,2017
Utah Tech,/teams/66311,66311,2017
Valdosta St.,/teams/66236,66236,2017
Virginia St.,/teams/66237,66237,2017
Virginia Union,/teams/66238,66238,2017
Walsh,/teams/66324,66324,2017
Washburn,/teams/66286,66286,2017
Wayne St. (MI),/teams/66239,66239,2017
Wayne St. (NE),/teams/66276,66276,2017
West Ala.,/teams/66200,66200,2017
West Chester,/teams/66240,66240,2017
West Florida,/teams/66301,66301,2017
West Ga.,/teams/66241,66241,2017
West Liberty,/teams/66277,66277,2017
West Tex. A&M,/teams/66242,66242,2017
West Va. Wesleyan,/teams/66298,66298,2017
West Virginia St.,/teams/66278,66278,2017
Western Colo.,/teams/66285,66285,2017
Western N.M.,/teams/66279,66279,2017
Western Ore.,/teams/66280,66280,2017
William Jewell,/teams/66314,66314,2017
Wingate,/teams/66281,66281,2017
Winona St.,/teams/66243,66243,2017
Winston-Salem,/teams/66244,66244,2017
Adams St.,/teams/113191,113191,2018
Albany St. (GA),/teams/113106,113106,2018
Alderson Broaddus,/teams/113192,113192,2018
American Int'l,/teams/113107,113107,2018
Angelo St.,/teams/113108,113108,2018
Ark.-Monticello,/teams/113233,113233,2018
